customerid,lastname,firstname,areacode,area,birthday,age,sex,totalprice,lastorderdate
A1010614,ネツヒソ,ワハム,42,長崎県,1936/4/25,85,1,37100,2020/5/14
B1010736,テシソネ,ユコオ,45,宮崎県,1992/12/5,28,1,67200,2020/9/29
H1010893,テニクイ,セツイヨ,31,鳥取県,2003/11/2,18,2,20741,2020/8/3
R1010973,ミホオホ,イセコ,13,東京都,1972/11/1,49,2,24135,2020/9/22
W1011079,エエテ,オナウヲ,8,茨城県,1950/4/29,71,2,50207,2021/4/19
F1011122,フセ,サツナ,27,大阪府,1998/4/9,23,1,32100,2019/6/26
H1011291,ヘモ,タヒケ,4,宮城県,1954/5/7,67,2,20642,2021/3/29
D1011361,ソヲタ,ヌン,20,長野県,1966/11/18,54,2,25923,2020/7/3
V1011467,コオサ,ヲカツム,5,秋田県,1941/6/17,80,2,152682,2021/9/30
K1011559,コヨニ,テユモヒ,14,神奈川県,1967/10/10,54,2,99771,2021/10/19
I1011642,コマ,ユヲ,44,大分県,2006/6/4,15,2,53580,2021/6/7
H1011762,ンヲニ,ホヘモホ,23,愛知県,1939/7/28,82,2,55100,2020/9/1
M1011818,オメユワ,マソテ,30,和歌山県,1986/10/16,35,2,101876,2021/8/5
Z1011965,ホモ,ミヌ,38,愛媛県,1991/10/6,30,1,74900,2020/7/27
G1012086,ヌセノ,ケント,23,愛知県,1967/10/26,54,1,68804,2021/8/22
X1012169,マスス,ヨカ,39,高知県,1923/8/7,98,1,33106,2021/10/26
B1012215,モトムヨ,ホスヘ,4,宮城県,2001/11/12,19,2,65800,2021/10/10
Y1012379,ケニ,トネクス,32,島根県,2004/3/1,17,1,104300,2021/10/20
V1012433,チア,ネシテ,29,奈良県,1966/4/9,55,2,25300,2020/12/2
C1012528,キオミサ,ヘナセ,23,愛知県,1928/1/18,93,1,49600,2020/1/14
O1012693,アユエヤ,ヨムコ,43,熊本県,1961/2/1,60,1,39600,2021/7/28
K1012792,セナ,ハセナ,16,富山県,1943/11/21,77,2,57090,2021/10/15
H1012828,エヨンタ,ノシトセ,16,富山県,1949/10/8,72,2,32800,2021/5/23
I1012944,モソマイ,ナスネ,11,埼玉県,1964/10/23,57,1,29400,2021/7/8
H1013088,ユマコ,ツソマコ,24,三重県,1937/1/26,84,2,57900,2021/8/18
N1013184,アタモセ,ヌナ,16,富山県,2000/12/19,20,1,19100,2021/10/26
D1013259,モフコワ,ノヌ,30,和歌山県,1987/9/22,34,2,51407,2020/9/4
D1013332,ヌヒシ,ナクハ,12,千葉県,1946/9/13,75,1,162500,2021/9/10
X1013466,マヲコ,ヲウホ,13,東京都,1971/4/20,50,2,44800,2021/5/17
N1013541,コツム,ツホ,47,沖縄県,1943/8/20,78,2,44100,2020/9/21
Z1013622,ヲユケウ,オス,35,山口県,1937/12/4,83,2,21200,2021/7/30
J1013719,タマ,ニワヒヲ,46,鹿児島県,1998/4/29,23,1,20900,2020/12/11
U1013854,アワクン,ヒソ,6,山形県,1938/10/10,83,2,21352,2020/8/3
W1013914,ノヨ,ヲヤホ,12,千葉県,1975/6/4,46,2,29815,2020/5/14
K1014010,クワ,ハハ,26,京都府,1943/4/21,78,1,80900,2021/3/17
H1014141,ニメ,モメナヨ,18,福井県,1935/4/25,86,1,19300,2021/9/2
Z1014289,エマホ,ツス,3,岩手県,1977/2/24,44,2,49300,2020/12/18
O1014361,エヌ,タミ,34,広島県,1984/8/26,37,2,13500,2020/11/19
H1014482,ヤコ,カクニ,19,山梨県,2000/4/24,21,2,26700,2021/4/27
H1014544,ホウ,ウユヌム,42,長崎県,2002/11/12,18,1,26200,2020/5/3
T1014624,ヤヨマ,ミナヲイ,35,山口県,1968/11/14,52,1,56000,2021/9/29
P1014719,アク,ノシニフ,43,熊本県,1952/1/1,69,1,35760,2020/1/23
L1014839,メヤタ,ンエカニ,34,広島県,1961/4/16,60,1,16878,2021/8/22
U1014938,モクキユ,ニク,28,兵庫県,1949/1/11,72,1,36785,2021/8/16
P1015046,テフヨホ,スノオ,11,埼玉県,1938/10/25,83,1,63006,2019/12/1
R1015187,キソトノ,スムナチ,17,石川県,1943/10/9,78,2,27400,2020/11/12
Z1015269,メク,タマスタ,33,岡山県,1926/3/17,95,2,10100,2019/7/3
F1015352,ネコ,ナテモツ,38,愛媛県,1930/3/4,91,2,20518,2021/9/19
G1015459,カモ,ウカユユ,31,鳥取県,1923/11/23,97,2,10500,2020/6/6
A1015538,マノミヲ,エタタ,45,宮崎県,1928/8/9,93,2,21724,2021/7/19
X1015650,クカンニ,ノスカ,20,長野県,1944/11/11,76,1,20200,2021/2/19
H1015731,ヌツ,セセ,19,山梨県,2006/8/27,15,1,73308,2021/3/8
O1015893,ヲフ,ハトキ,9,栃木県,1930/12/21,90,1,60431,2021/10/8
V1015960,ユヒコ,フクネ,34,広島県,1940/5/2,81,2,26325,2021/6/20
K1016074,マカ,チフナ,20,長野県,1956/2/9,65,1,73000,2021/2/26
V1016154,ユヘヨイ,ヒウソ,25,滋賀県,1955/11/13,65,2,33600,2019/8/25
S1016258,セワトホ,マナ,14,神奈川県,1974/10/1,47,2,5955,2021/1/22
O1016378,セセフ,チトヤ,28,兵庫県,1936/6/10,85,1,59090,2021/7/29
A1016488,ホウ,ヨエワ,35,山口県,1989/2/16,32,1,46400,2020/6/27
H1016537,チヤネカ,イアソシ,30,和歌山県,1976/10/12,45,1,20000,2021/5/24
J1016695,メモムネ,オマ,4,宮城県,1997/12/5,23,2,73600,2020/8/15
P1016783,トニ,ヲンヨソ,47,沖縄県,1979/8/16,42,2,53800,2021/7/8
V1016816,エソエマ,セノイヨ,39,高知県,1944/7/31,77,1,69200,2021/3/19
J1016921,サエ,アエウノ,8,茨城県,1971/12/17,49,1,84300,2021/5/30
U1017047,フヤ,タシス,31,鳥取県,1961/2/2,60,2,17200,2020/3/6
U1017145,ヒク,ヌサフ,20,長野県,1943/10/7,78,1,71700,2021/10/26
D1017291,ユケワ,チサ,45,宮崎県,1990/5/2,31,2,32100,2021/8/4
P1017380,ンフス,ツナ,22,静岡県,2002/4/26,19,1,30600,2020/11/25
F1017452,ノタエン,ヘノヌコ,11,埼玉県,1997/2/1,24,1,77393,2021/7/18
I1017589,イキナ,ケサツ,3,岩手県,1934/5/25,87,1,50483,2021/5/14
R1017645,サトユ,ヲシヒミ,2,青森県,1976/3/7,45,1,11607,2021/1/20
D1017749,ヌテ,ンエヤ,23,愛知県,1996/6/23,25,1,46700,2021/9/21
L1017812,ウアフヘ,ミアオユ,46,鹿児島県,1935/12/2,85,1,23900,2021/7/22
F1017959,ヌシヤク,タヨヨ,42,長崎県,1922/2/1,99,1,60663,2021/2/6
D1018086,ホクウア,セヲ,33,岡山県,1945/12/28,75,1,58799,2020/3/3
Z1018153,チテネ,アアヲナ,43,熊本県,1970/4/17,51,1,49902,2021/4/3
L1018221,ヌハ,ソニ,6,山形県,2005/3/15,16,2,11400,2021/1/20
E1018353,ユニ,クミヨチ,2,青森県,1936/4/1,85,1,31627,2021/10/2
O1018456,アンヲ,ホスネ,37,香川県,1951/1/30,70,1,2278,2021/5/23
O1018581,テハ,ツソ,34,広島県,1930/2/14,91,1,33400,2021/7/9
F1018658,カコ,セトハ,1,北海道,1964/8/1,57,1,41000,2021/5/30
B1018724,ヌチ,ナウヨ,20,長野県,1986/12/25,34,2,33271,2021/7/24
M1018811,ミワヨハ,ネナ,30,和歌山県,1930/1/9,91,2,50578,2021/10/11
J1018983,ナコトヒ,ヌハシ,23,愛知県,1948/6/26,73,2,2419,2021/7/18
K1019014,シネ,モヒア,39,高知県,1940/7/12,81,2,24570,2020/7/18
W1019119,ムス,ノニマ,30,和歌山県,1990/6/24,31,1,21000,2020/8/26
J1019257,カネキメ,ンン,41,佐賀県,1933/7/28,88,1,40751,2021/8/26
X1019369,キカキ,ヌエハホ,25,滋賀県,1989/1/23,32,1,53600,2020/4/30
A1019492,イエ,イモキ,20,長野県,2006/1/10,15,2,24800,2021/8/30
N1019561,スワナ,テチヒソ,26,京都府,1996/12/10,24,2,65054,2020/4/27
I1019673,マヌス,モウカ,32,島根県,1946/8/23,75,2,60449,2021/6/22
W1019734,ニメ,ムコキア,4,宮城県,1938/8/21,83,1,6100,2021/8/31
J1019863,ニネ,コシミ,32,島根県,1989/4/2,32,1,3300,2021/6/18
T1019993,ノムモト,ソエ,4,宮城県,2005/5/6,16,2,56474,2021/9/3
A1020076,ウマ,ソクンワ,36,徳島県,1999/1/7,22,1,43900,2020/9/17
K1020169,サエヲ,セセ,8,茨城県,1991/6/10,30,1,24400,2021/1/25
Y1020295,トイカ,ハカヒヤ,26,京都府,1932/2/20,89,1,65600,2021/5/28
U1020384,ニイヨマ,ツマヘマ,16,富山県,1994/3/19,27,2,27440,2021/8/26
W1020457,ヌコフセ,スチイシ,19,山梨県,1939/12/7,81,1,40700,2019/9/19
X1020596,シノホセ,オンミ,23,愛知県,1923/1/3,98,2,17000,2021/4/23
T1020698,コク,ヤニヨ,8,茨城県,1988/7/6,33,1,53200,2021/5/9
W1020787,ケヲフ,ヨオシウ,20,長野県,1983/1/18,38,1,49500,2021/4/10
G1020830,ムヲイ,イメ,13,東京都,1973/2/3,48,1,22330,2020/11/27
S1020911,スイエ,カノ,38,愛媛県,1980/7/17,41,1,52700,2021/7/7
F1021095,テヲカセ,スネ,25,滋賀県,1978/1/20,43,2,43152,2021/5/27
C1021163,ヒチ,エユ,5,秋田県,1981/2/25,40,1,29161,2021/9/8
B1021223,スマウ,ヒアハ,5,秋田県,1925/12/5,95,2,16529,2021/7/10
E1021317,ヘウメウ,ウモユ,19,山梨県,1989/3/19,32,1,30900,2020/10/1
E1021411,シヌメキ,トクカカ,23,愛知県,1996/7/26,25,1,6005,2020/11/19
J1021597,アソヤス,ハヌホキ,37,香川県,1956/9/30,65,2,5200,2020/6/13
I1021647,サミヤ,ソワ,41,佐賀県,1990/10/20,31,2,75374,2020/12/13
G1021719,ムアコヒ,ナム,2,青森県,1984/4/8,37,2,2500,2019/6/12
T1021841,ユヘンヘ,アチ,37,香川県,1956/1/14,65,2,58282,2021/2/26
A1021935,ヘノ,フツ,37,香川県,1948/10/6,73,1,24200,2021/3/22
M1022098,ツヲヌ,フヌニ,28,兵庫県,1994/9/26,27,2,29160,2021/3/26
N1022165,ナスウ,メワユネ,39,高知県,1976/7/25,45,1,14119,2020/8/19
B1022223,ヤエモ,オヨヌ,36,徳島県,1928/12/16,92,2,5400,2021/1/18
D1022310,ミセメコ,ンセハサ,9,栃木県,1982/1/27,39,2,53900,2021/10/16
Q1022423,ヨヨモ,ミヘ,45,宮崎県,1989/2/7,32,1,26600,2021/5/5
K1022586,カマヲ,ハナ,2,青森県,1988/12/27,32,2,24756,2020/7/4
L1022676,ソモ,トムハ,25,滋賀県,1964/3/31,57,1,39830,2021/8/11
W1022778,ウタキヘ,ノナ,33,岡山県,1990/4/25,31,2,46500,2021/3/6
K1022853,ヘセヨモ,セユキ,40,福岡県,1996/10/12,25,2,23700,2020/12/6
S1022979,テニハ,マオナニ,15,新潟県,1996/9/15,25,2,51101,2020/10/23
V1023055,ミオメ,ムチ,25,滋賀県,1968/9/28,53,2,19800,2020/12/10
A1023130,ンケヨニ,エフヨマ,6,山形県,1984/3/26,37,2,59178,2020/9/26
N1023259,ミハ,ユモヨヤ,47,沖縄県,1954/12/6,66,1,88100,2021/5/9
G1023320,チト,ヘクタセ,30,和歌山県,1979/2/28,42,2,19500,2020/3/20
U1023471,フンサ,ハエネコ,3,岩手県,1960/8/19,61,2,38600,2021/10/1
R1023561,セサノモ,アチユヲ,6,山形県,1945/5/17,76,2,40100,2020/10/15
X1023641,イヨサホ,ネンヨノ,45,宮崎県,1984/8/4,37,1,100776,2021/6/28
A1023765,ササキ,ワホソ,13,東京都,1943/4/15,78,2,17602,2021/11/1
Q1023868,メン,ホヘコ,43,熊本県,1937/10/17,84,1,33636,2020/10/18
V1023913,トムス,ヒヌオ,46,鹿児島県,1944/12/16,76,1,48200,2021/8/4
Y1024073,ハムキン,メツウ,42,長崎県,1964/12/16,56,2,36800,2020/8/27
O1024134,マニ,スネテソ,19,山梨県,1938/4/14,83,2,28136,2021/3/5
V1024276,ホワ,ホセヤ,8,茨城県,1954/4/10,67,1,1335,2019/11/11
U1024355,ツイ,ヲヤニ,17,石川県,1945/6/16,76,2,48400,2021/6/24
P1024481,メトマ,エクヤオ,18,福井県,1933/1/25,88,2,22400,2021/9/19
Y1024525,ヲネ,トセヘエ,26,京都府,2004/4/23,17,1,79800,2021/6/17
M1024674,ムナキウ,クエニ,6,山形県,1938/4/29,83,2,59062,2021/6/30
X1024728,ヒテ,ナムユン,8,茨城県,1955/9/17,66,1,58600,2021/7/28
P1024870,ヤカ,ソヲメミ,11,埼玉県,1951/11/9,69,2,36027,2021/3/10
D1024911,スモミフ,モハミユ,7,福島県,1922/6/28,99,1,29800,2020/12/6
G1025043,ツワ,クママ,33,岡山県,1957/10/31,64,2,8600,2021/4/29
Y1025170,マエ,ミセケ,24,三重県,1969/10/29,52,2,2200,2021/5/11
A1025293,エトケウ,ワヒ,19,山梨県,1989/10/16,32,2,35600,2021/4/8
A1025399,ニアヒ,サム,27,大阪府,2001/12/1,19,1,47000,2021/4/17
S1025422,スハエ,テク,41,佐賀県,2005/12/19,15,2,39100,2021/7/8
B1025594,クナキ,トホチサ,5,秋田県,1929/9/30,92,2,26900,2019/5/23
Q1025616,ムニ,ユムキ,5,秋田県,1928/11/9,92,1,45755,2020/9/11
N1025731,スホ,ハツテ,21,岐阜県,2006/2/1,15,1,23400,2019/9/25
H1025841,ンセユ,モイケ,5,秋田県,2002/3/5,19,2,61841,2021/3/23
E1025942,ノエセ,ンヲオス,46,鹿児島県,1961/10/4,60,1,2344,2021/5/12
L1026038,ンヤソ,コケ,4,宮城県,1960/4/10,61,2,48874,2020/7/17
W1026157,ニホオ,テタサ,45,宮崎県,1968/2/6,53,1,46376,2021/2/9
E1026227,ワオテオ,ヒツホ,19,山梨県,1972/10/10,49,1,14834,2020/6/30
X1026333,ホイタニ,イモワテ,35,山口県,1955/8/18,66,1,53970,2021/9/24
X1026475,ワア,ユケテ,3,岩手県,1989/12/24,31,1,41964,2020/7/2
J1026565,ネスキ,ノカセ,30,和歌山県,1940/3/20,81,1,68400,2021/3/19
T1026671,サム,ユスヌサ,27,大阪府,1945/4/5,76,2,70500,2020/9/27
M1026774,タヤア,ニシヲ,2,青森県,1959/4/22,62,1,50400,2021/9/25
A1026876,メクセム,ニミテヒ,42,長崎県,1944/3/17,77,2,15771,2021/11/1
F1026957,ノヨヲ,シナイ,6,山形県,2000/2/13,21,2,95873,2021/9/10
L1027068,ヒワミ,ミメオオ,15,新潟県,1945/2/17,76,2,57800,2021/2/8
Z1027118,ウホハ,エウオヌ,38,愛媛県,1984/7/22,37,2,40600,2021/3/11
O1027214,トハセ,ノキ,33,岡山県,1937/2/2,84,2,52574,2021/1/27
I1027340,メエ,ケカイ,8,茨城県,1955/11/3,66,1,32989,2021/5/29
N1027451,ユニニ,ハナキ,32,島根県,1970/12/11,50,1,53100,2020/2/25
W1027571,ミカオシ,ヒミクキ,8,茨城県,2000/11/19,20,2,14707,2020/11/18
Y1027679,ノニ,シイヨイ,42,長崎県,1962/9/13,59,2,81000,2021/1/27
U1027792,ヌケ,コハホ,26,京都府,1966/12/8,54,2,40500,2021/7/26
P1027898,サムヒ,ヤユユヌ,47,沖縄県,1999/1/24,22,1,73300,2020/9/19
Q1027923,ウヘコ,シフ,11,埼玉県,1956/6/8,65,1,40900,2021/11/2
L1028047,ヨム,ソウ,5,秋田県,1971/10/20,50,1,17000,2020/8/29
P1028129,コテカ,ナムユサ,27,大阪府,1937/1/18,84,2,21102,2021/2/19
X1028239,クイ,ワオマテ,41,佐賀県,2005/4/14,16,1,26131,2021/3/25
W1028316,チントカ,トヒ,36,徳島県,1965/11/28,55,1,36553,2020/11/26
M1028421,ワアトミ,ホタオト,11,埼玉県,1955/2/22,66,1,77481,2021/7/23
X1028527,ヨタカヒ,アハテ,32,島根県,1931/8/5,90,1,1416,2020/4/26
W1028696,ユオサ,コナノ,41,佐賀県,1950/7/19,71,1,17300,2020/2/14
Q1028750,メセオ,ウユ,27,大阪府,1977/12/10,43,2,45300,2021/3/22
I1028863,ンチハ,ネンニ,41,佐賀県,1933/11/6,87,2,10500,2020/7/20
Q1028964,ヒミヘ,サヲンク,40,福岡県,1957/6/23,64,1,31800,2021/8/8
Z1029064,ワセ,セマワオ,5,秋田県,1947/6/17,74,2,41100,2019/10/14
S1029167,チナ,ヨヤ,8,茨城県,1929/8/19,92,1,48344,2020/12/17
Q1029232,ココ,ワメ,11,埼玉県,1925/2/17,96,2,26500,2021/2/11
X1029363,ツサユ,オヌモ,38,愛媛県,1995/8/4,26,2,65793,2021/4/13
R1029441,イワ,ヒソ,38,愛媛県,1959/5/25,62,2,20400,2021/10/30
Z1029519,ンウメミ,ウニ,9,栃木県,2000/6/8,21,1,31500,2020/4/4
G1029632,タオ,ンエヘ,30,和歌山県,1925/12/27,95,1,72700,2021/8/2
S1029783,テヲオケ,タハ,40,福岡県,1985/12/15,35,2,3312,2020/3/19
H1029856,ヒカケ,ノタ,47,沖縄県,1977/1/29,44,1,16900,2020/3/14
J1029913,ソヒキ,シノキ,22,静岡県,1922/6/6,99,2,46900,2020/12/7
I1030053,イユテ,ケアヤシ,17,石川県,1931/10/15,90,1,1760,2019/9/13
B1030156,スソ,ムメ,16,富山県,1958/12/4,62,1,55166,2021/7/10
U1030243,ウヲ,サコケニ,15,新潟県,2000/8/13,21,2,33993,2020/12/29
A1030361,ミユ,オイフ,34,広島県,1962/10/24,59,2,23200,2020/11/6
Q1030448,コワ,ナンタハ,47,沖縄県,1923/8/11,98,2,66100,2020/6/3
I1030511,ヨテニ,モキ,4,宮城県,1966/10/9,55,1,72300,2020/12/21
O1030684,ヤヘセ,キツメテ,10,群馬県,1956/6/26,65,1,41400,2021/10/6
D1030748,ンツコヲ,ムエケソ,33,岡山県,1996/12/15,24,2,26777,2020/3/29
C1030816,タワ,コイアヲ,2,青森県,1975/3/10,46,1,26400,2019/12/29
U1030963,ケソウ,カメ,17,石川県,1991/11/13,29,1,127220,2021/10/20
C1031024,カヘ,サノ,16,富山県,1978/12/29,42,2,20500,2020/12/8
